Disziplin,Level,Gewicht,Kategorie,Wind,Wellen,Infinity Ace 540,Infinity Ace 690,Infinity Ace 840,Infinity Ace 990,Infinity Ace 1140,Infinity Ace 1390,Stride Ace 1360,Stride Ace 1740,Stride 2050,Pacer 950,Pacer 1250,Pacer 1550,Pacer 1850,Pacer 2200,Flow Ace 720,Flow Ace 900,Flow Ace 1080,Flow Ace 1260
Wingfoil,Discovers,bis 70 kg,Freeride,Schwachwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Medium Wind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Starkwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Schwachwind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Medium Wind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Starkwind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Schwachwind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Medium Wind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Freeride,Starkwind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Schwachwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Medium Wind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Starkwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Schwachwind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Medium Wind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Starkwind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Schwachwind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Medium Wind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Downwind-Wave,Starkwind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Schwachwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Medium Wind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Starkwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Schwachwind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Medium Wind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Starkwind,Kleine Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Schwachwind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Medium Wind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Wavesurfing,Starkwind,Grosse Wellen,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Jumping,Schwachwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Jumping,Medium Wind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Wingfoil,Discovers,bis 70 kg,Jumping,Starkwind,Flachwasser,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
