Level;Gewicht;Disziplin;Kategorie;Wind;Wellen;Empf1_Foil;Empf1_Grösse;Empf2_Foil;Empf2_Grösse;Empf3_Foil;Empf3_Grösse
Discover;<70;Downwind;Freeride;Schwach;Flach;Stride;2050;Infinity;1140;;
Discover;<70;Downwind;Freeride;Schwach;Klein;Stride;2050;Infinity;1140;;
Discover;<70;Downwind;Freeride;Schwach;Gross;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Freeride;Mittel;Flach;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Freeride;Mittel;Klein;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Freeride;Mittel;Gross;Stride;2050;Infinity;840;;
Discover;<70;Downwind;Freeride;Stark;Flach;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Freeride;Stark;Klein;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Freeride;Stark;Gross;Stride;2050;Infinity;840;;
Discover;<70;Downwind;Jumping;Schwach;Flach;Stride;2050;Infinity;1140;;
Discover;<70;Downwind;Jumping;Schwach;Klein;Stride;2050;Infinity;1140;;
Discover;<70;Downwind;Jumping;Schwach;Gross;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Jumping;Mittel;Flach;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Jumping;Mittel;Klein;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Jumping;Mittel;Gross;Stride;2050;Infinity;840;;
Discover;<70;Downwind;Jumping;Stark;Flach;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Jumping;Stark;Klein;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Jumping;Stark;Gross;Stride;2050;Infinity;840;;
Discover;<70;Downwind;Flatwater;Schwach;Flach;Stride;2050;Infinity;1140;;
Discover;<70;Downwind;Flatwater;Schwach;Klein;Stride;2050;Infinity;1140;;
Discover;<70;Downwind;Flatwater;Schwach;Gross;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Flatwater;Mittel;Flach;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Flatwater;Mittel;Klein;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Flatwater;Mittel;Gross;Stride;2050;Infinity;840;;
Discover;<70;Downwind;Flatwater;Stark;Flach;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Flatwater;Stark;Klein;Stride;2050;Infinity;990;;
Discover;<70;Downwind;Flatwater;Stark;Gross;Stride;2050;Infinity;840;;
