Level,Gewicht,Disziplin,Wind,Wellen,Infinity Ace 540,Infinity Ace 690,Infinity Ace 840,Infinity Ace 990,Infinity Ace 1140,Infinity Ace 1390,Stride Ace 1360,Stride Ace 1740,Stride 2050,Pacer 950,Pacer 1250,Pacer 1550,Pacer 1850,Pacer 2200,Flow 720,Flow 900,Flow 1080,Flow 1260
Discovers,bis 70 kg,Freeride,Schwachwind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Schwachwind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Schwachwind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Schwachwind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Medium Wind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Medium Wind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Medium Wind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Medium Wind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Starkwind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Starkwind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Starkwind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,Starkwind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,nicht notwendig,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,nicht notwendig,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,nicht notwendig,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Freeride,nicht notwendig,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Schwachwind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Schwachwind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Schwachwind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Schwachwind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Medium Wind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Medium Wind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Medium Wind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Medium Wind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Starkwind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Starkwind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Starkwind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,Starkwind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,nicht notwendig,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,nicht notwendig,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,nicht notwendig,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Downwind-Wave,nicht notwendig,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Schwachwind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Schwachwind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Schwachwind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Schwachwind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Medium Wind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Medium Wind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Medium Wind,Grosse Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Medium Wind,nicht notwendig,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Starkwind,Flachwasser,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Starkwind,Kleine Wellen,,,,,,,,,,,,,,,,,,
Discovers,bis 70 kg,Wavesurfing,Starkwind,Grosse Wellen,,,,,,,,,,,,,,,,,,
