Disziplin;Level;Gewicht;Kategorie;Wind;Wellen;Infinity Ace 540;Infinity Ace 690;Infinity Ace 840;Infinity Ace 990;Infinity Ace 1140;Infinity Ace 1390;Stride Ace 1360;Stride Ace 1740;Stride 2050;Pacer 950;Pacer 1250;Pacer 1550;Pacer 1850;Pacer 2200;Flow 720;Flow 900;Flow 1080;Flow 1260
Downwind;Discovers;bis 70 kg;Freeride;Schwachwind;Flachwasser;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;3;0;0
Downwind;Discovers;bis 70 kg;Freeride;Schwachwind;Kleine Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Schwachwind;Grosse Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Schwachwind;nicht notwendig;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Medium Wind;Flachwasser;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Medium Wind;Kleine Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Medium Wind;Grosse Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Medium Wind;nicht notwendig;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Starkwind;Flachwasser;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Starkwind;Kleine Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Starkwind;Grosse Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;Starkwind;nicht notwendig;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;nicht notwendig;Flachwasser;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;nicht notwendig;Kleine Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;nicht notwendig;Grosse Wellen;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Freeride;nicht notwendig;nicht notwendig;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
Downwind;Discovers;bis 70 kg;Downwind-Wave;Schwachwind;Flachwasser;0;0;0;0;0;3;0;0;1;0;0;0;2;0;0;0;0;0
